,documentation,bug,other,improvement,test,feature_request,refactoring
extract_variable,9,892,6,513,42,6,
extract_method,15,1337,14,1094,68,72,3
parametrize_variable,2,97,,69,5,2,
rename_class,3,86,3,148,60,4,1
change_variable_type,161,2533,38,5257,33,38,7
extract_attribute,26,1166,43,2290,14,30,2
rename_method,5,827,5,788,68,29,
change_return_type,8,1032,14,1856,7,22,1
rename_variable,25,1054,9,1229,50,22,
rename_attribute,2,263,13,326,18,8,
inline_variable,1,132,,103,1,2,
move_class,40,174,1175,2444,40,4,13
rename_parameter,13,671,11,1020,20,16,1
pull_up_attribute,2,150,,203,10,16,
pull_up_method,5,480,,455,12,23,
extract_and_move_method,5,294,3,418,80,2,
inline_method,2,125,10,113,21,3,
extract_interface,2,24,,12,,,1
push_down_method,2,27,5,93,,,
extract_superclass,,61,,75,,6,
move_attribute,,212,5,256,1,3,
merge_parameter,,18,,7,,,
replace_variable_with_attribute,,81,1,74,19,2,
extract_class,,65,5,85,1,1,
move_method,,406,7,355,8,,1
split_variable,,4,,2,,,
move_and_rename_class,,28,,396,19,1,
merge_variable,,10,,23,1,,
split_attribute,,2,,8,,,
push_down_attribute,,7,1,40,,,
split_parameter,,5,,1,,1,
merge_attribute,,2,,6,2,,
extract_subclass,,1,,12,,,
replace_attribute,,2,,2,,,
move_and_rename_attribute,,,,2,,,
